ISIN,Date,start_price,end_price,minimum_price,maximum_price,daily_traded_volume,end_price_mx,standard_deviation
LU1437024992,2022-12-31,44.245,44.94,44.01,44.245,24,857.4551999999999,0.4914392129246507
LU1440654330,2022-12-30,13.506,13.512,13.506,13.506,0,257.80896,0.004242640687119446
LU1440654330,2022-12-31,13.506,13.512,13.506,13.506,0,257.80896,0.004242640687119446
LU1452600270,2022-12-30,106.38,106.62,106.38,106.855,2095,2034.3095999999998,0.16970562748477783
LU1452600270,2022-12-31,106.38,106.62,106.38,106.855,2095,2034.3095999999998,0.16970562748477783
LU1459802754,2022-12-30,14.6055,14.711,14.6055,14.7355,62,280.68588,0.0745997654151815
LU1459802754,2022-12-31,14.6055,14.711,14.6055,14.7355,62,280.68588,0.0745997654151815
LU1481201025,2022-12-30,131.16,132.7,131.16,131.16,0,2531.9159999999997,1.0889444430272777
LU1481201025,2022-12-31,131.16,132.7,131.16,131.16,0,2531.9159999999997,1.0889444430272777
LU1481201298,2022-12-30,140.34,141.3,140.34,140.34,0,2696.004,0.6788225099390912
LU1481201298,2022-12-31,140.34,141.3,140.34,140.34,0,2696.004,0.6788225099390912
LU1481201538,2022-12-30,115.52,117.46,115.52,115.52,0,2241.1367999999998,1.3717871555019006
LU1481201538,2022-12-31,115.52,117.46,115.52,115.52,0,2241.1367999999998,1.3717871555019006
LU1481201611,2022-12-30,122.1,124.18,122.1,122.1,0,2369.3543999999997,1.4707821048680276
LU1481201611,2022-12-31,122.1,124.18,122.1,122.1,0,2369.3543999999997,1.4707821048680276
LU1481201702,2022-12-30,102.06,103.56,102.06,102.06,0,1975.9247999999998,1.0606601717798212
LU1481201702,2022-12-31,102.06,103.56,102.06,102.06,0,1975.9247999999998,1.0606601717798212
LU1481202692,2022-12-30,10.3345,10.355,10.3345,10.3405,5871,197.5734,0.014495689014324353
LU1481202692,2022-12-31,10.3345,10.355,10.3345,10.3405,5871,197.5734,0.014495689014324353
LU1481203070,2022-12-30,11.618,11.676,11.572,11.618,3520,222.77808,0.04101219330881964
LU1481203070,2022-12-31,11.618,11.676,11.572,11.618,3520,222.77808,0.04101219330881964
LU1484799769,2022-12-30,13.9485,13.986,13.8775,13.9485,1426,266.85287999999997,0.026516504294496538
LU1484799769,2022-12-31,13.9485,13.986,13.8775,13.9485,1426,266.85287999999997,0.026516504294496538
LU1484799843,2022-12-30,14.5665,14.61,14.5665,14.5665,0,278.75879999999995,0.03075914498161473
LU1484799843,2022-12-31,14.5665,14.61,14.5665,14.5665,0,278.75879999999995,0.03075914498161473
LU1547515053,2022-12-30,8.9872,8.8992,8.927,8.9872,13655,169.79673599999998,0.06222539674441561
LU1547515053,2022-12-31,8.9872,8.8992,8.927,8.9872,13655,169.79673599999998,0.06222539674441561
LU1547515137,2022-12-30,8.9244,8.9434,8.7894,8.9244,52096,170.640072,0.013435028842544494
LU1547515137,2022-12-31,8.9244,8.9434,8.7894,8.9244,52096,170.640072,0.013435028842544494
LU1547516291,2022-12-30,11.948,11.898,11.948,12.004,210,227.01384,0.03535533905932788
LU1547516291,2022-12-31,11.948,11.898,11.948,12.004,210,227.01384,0.03535533905932788
LU1563454310,2022-12-30,52.1,51.994,51.766,52.1,180,992.0455199999999,0.0749533188057752
LU1563454310,2022-12-31,52.1,51.994,51.766,52.1,180,992.0455199999999,0.0749533188057752
LU1563454823,2022-12-30,50.594,51.014,50.594,50.682,55,973.34712,0.2969848480983512
LU1563454823,2022-12-31,50.594,51.014,50.594,50.682,55,973.34712,0.2969848480983512
LU1574142243,2022-12-30,115.3,116.5,114.56,115.3,1518,2222.8199999999997,0.848528137423859
LU1574142243,2022-12-31,115.3,116.5,114.56,115.3,1518,2222.8199999999997,0.848528137423859
